name,team,bats,throws
curtis mead,WSH,R,R
dalton rushing,LAD,L,R
dane myers,CIN,R,R
daniel espino,CLE,R,R
daniel johnson,HOU,L,L
daniel lynch iv,KC,L,L
daniel palencia,CHC,R,R
daniel schneemann,CLE,L,R
daniel susac,SF,R,R
danny coulombe,BOS,L,L
danny jansen,TEX,R,R
danny young,ATL,L,L
dansby swanson,CHC,R,R
darell hernaiz,ATH,R,R
daulton varsho,TOR,L,R
david bednar,NYY,L,R
david davalillo,TEX,R,R
david festa,MIN,R,R
david fry,CLE,R,R
david hamilton,MIL,L,R
david morgan,SD,R,R
david peterson,NYM,L,L
david sandlin,CWS,R,R
davis martin,CWS,L,R
davis schneider,TOR,R,R
dax fulton,MIA,L,L
daylen lile,WSH,L,R
daysbel hernandez,ATL,R,R
dean kremer,BAL,R,R
dedniel nunez,NYM,R,R
dennis santana,PIT,R,R
denzel clarke,ATH,R,R
denzer guzman,LAA,R,R
derek hill,CWS,R,R
devin williams,NYM,R,R
deyvison de los santos,MIA,R,R
didier fuentes,ATL,R,R
diego cartaya,SF,R,R
dietrich enns,BAL,L,L
dillon dingler,DET,R,R
dj herz,WSH,R,L
dl hall,MIL,L,L
dom keegan,TB,R,R
domingo gonzalez,SEA,R,R
dominic canzone,SEA,L,R
dominic smith,ATL,L,L
doug nikhazy,CHC,L,L
drake baldwin,ATL,L,R
drew anderson,DET,R,R
drew gilbert,SF,L,L
drew millas,WSH,S,R
drew pomeranz,LAA,R,L
drew rasmussen,TB,R,R
drew romo,CWS,S,R
drew sommers,DET,L,L
drew thorpe,CWS,L,R
drey jameson,ARI,R,R
duncan davitt,CWS,R,R
dustin harris,HOU,L,R
dustin may,STL,R,R
dylan beavers,BAL,L,R
dylan carlson,CHC,S,L
dylan cease,TOR,R,R
dylan crews,WSH,R,R
dylan dodd,ATL,L,L
dylan lee,ATL,L,L
dylan moore,PHI,R,R
dylan ray,ARI,R,R
dylan ross,NYM,R,R
dylan smith,SF,R,R
easton mcgee,MIL,R,R
edgar quero,CWS,S,R
edgardo henriquez,LAD,R,R
edmundo sosa,PHI,R,R
edouard julien,COL,L,R
eduard bazardo,SEA,R,R
eduardo rivera,BOS,L,L
eduardo rodriguez,ARI,L,L
eduardo valencia,DET,R,R
eduarniel nunez,ATH,R,R
edward cabrera,CHC,R,R
edwin arroyo,CIN,S,R
edwin diaz,LAD,R,R
edwin uceta,TB,R,R
eli morgan,KC,R,R
eli white,ATL,R,R
elias diaz,KC,R,R
elly de la cruz,CIN,S,R
elmer rodriguez,NYY,L,R
eloy jimenez,TOR,R,R
elvis alvarado,ATH,R,R
emerson hancock,SEA,R,R
emiliano teodo,TEX,R,R
emilio pagan,CIN,L,R
emmanuel rodriguez,MIN,L,L
emmet sheehan,LAD,R,R
